sample	K1	K2	K3	K4	K5
And_537	0.5525	0.0073	0.0023	0.2929	0.145
And_538	0.0003	0.2583	0.287	0.4533	0.001
And_539	0.6066	0.0584	0.024	0.2299	0.0811
And_540	0	0.0003	0	0.9997	0
And_541	0	0.267	0.263	0.4687	0.0013
And_542	0	0.0003	0	0.9997	0
And_543	0.2714	0.0027	0.0407	0.6252	0.06
And_544	0	0.0404	0	0.9596	0
And_545	0	0.7467	0.0003	0.253	0
And_546	0	0.045	0	0.955	0
And_547	0	0.0443	0	0.9557	0
And_548	0.0003	0.3608	0.2098	0.4198	0.0093
And_549	0.2715	0.003	0.0374	0.6294	0.0587
And_550	0.2483	0.1317	0.0377	0.1657	0.4167
And_551	0.2489	0.1317	0.037	0.1657	0.4167
And_552	0.0003	0.0527	0.0003	0.9466	0
And_553	0	0.0007	0.9987	0.0007	0
And_554	0.125	0.1047	0.0727	0.6966	0.001
And_555	0.0387	0.183	0.178	0.6	0.0003
And_556	0.1284	0.1024	0.076	0.6926	0.0007
And_557	0.0007	0.0897	0.2247	0.685	0
And_558	0	0.045	0	0.955	0
And_559	0	0.0397	0	0.9603	0
And_560	0.5443	0.0657	0.001	0.2313	0.1577
And_561	0	0.0663	0.1874	0.7462	0
And_562	0	0.068	0.1853	0.7467	0
And_563	0	0	1	0	0
And_564	0.0003	0.0013	0.998	0.0003	0
And_565	0	0	1	0	0
And_566	0	0.041	0	0.959	0
And_567	0.2267	0.1123	0.0827	0.5347	0.0437
And_568	0.006	0.1062	0.1729	0.6912	0.0237
And_569	0	0.0669	0.1871	0.746	0
And_570	0	0.0657	0.1872	0.7471	0
And_571	0	0	1	0	0
And_572	0	0	1	0	0
And_574	0.0007	0.0757	0.069	0.8546	0
And_575	0.0003	0.0007	0.999	0	0
And_576	0.1345	0.1518	0.025	0.3021	0.3867
And_577	0.5822	0.012	0.041	0.3088	0.056
And_578	0.1923	0.1917	0.1394	0.185	0.2916
And_579	0.249	0.1317	0.037	0.165	0.4173
And_580	0.3333	0	0	0	0.6667
And_581	0.0007	0.0727	0.0713	0.8553	0
And_582	0	0.0003	0.9993	0.0003	0
And_583	0.6075	0.1	0.0984	0.137	0.057
And_584	0.001	0.2559	0.3322	0.3992	0.0117
And_585	0.0003	0.2562	0.3309	0.4016	0.011
And_586	0.0003	0.2407	0.3216	0.4374	0
And_587	0.0007	0.0783	0.1547	0.7662	0
And_588	0.0013	0.0529	0.1271	0.8179	0.0007
And_589	0	0.0637	0.1844	0.7519	0
And_590	0.2466	0.135	0.0367	0.1657	0.416
